file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,class,5,11,6,5,4,1,1,4,0,0.7083333,0.5,0.5,4,1,3,0,1,0,4,0,3,0,12,10,10,1,1,0,12,0,1,36,0,0,0,0,0,0,13,13,0,13,0,0,0,0,25,1025,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\library\src\main\java\org\aisen\android\ui\widget\swipyrefresh\SwipyRefreshLayout.java,org.aisen.android.ui.widget.swipyrefresh.SwipyRefreshLayout$OnRefreshListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,class,27,31,4,27,95,2,0,102,32,0.83055556,0.3,0.45833334,20,8,11,5,4,0,16,0,0,5,18,9,0,17,0,1,4,0,55,416,13,2,37,10,6,49,51,103,34,73,4,5,2,0,170,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\publish\APublishFragment.java,org.aisen.weibo.sina.ui.fragment.publish.APublishFragment$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\publish\APublishFragment.java,org.aisen.weibo.sina.ui.fragment.publish.APublishFragment$Anonymous2,anonymous,2,2,0,2,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,1,0,1,0,0,7,-1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\datetimerpicker\src\main\java\com\fourmob\datetimepicker\date\YearPickerView.java,com.fourmob.datetimepicker.date.YearPickerView$YearAdapter,innerclass,7,7,0,7,4,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,1,0,0,0,0,4,0,3,1,0,0,0,18,2,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\publish\APublishFragment.java,org.aisen.weibo.sina.ui.fragment.publish.APublishFragment$Anonymous4,anonymous,4,4,0,4,4,1,0,10,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,1,1,0,1,4,1,1,0,0,0,29,-1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\library\src\main\java\org\aisen\android\ui\fragment\AListSwipeRefreshFragment.java,org.aisen.android.ui.fragment.AListSwipeRefreshFragment,class,11,12,1,11,9,5,0,7,9,0.42857143,0.2857143,0.2857143,7,0,5,0,2,0,7,0,0,0,1,0,0,0,0,1,0,0,0,27,3,0,1,0,0,1,0,0,0,1,1,0,0,0,27,1025,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\sinasdk\http\TopicHotHttpUtility.java,org.aisen.weibo.sina.sinasdk.http.TopicHotHttpUtility,class,8,9,1,8,16,3,0,24,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,70,3,2,4,1,0,26,6,10,0,9,6,0,0,0,39,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\publish\APublishFragment.java,org.aisen.weibo.sina.ui.fragment.publish.APublishFragment$Anonymous9,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
