file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,Notifier/1[org.aisen.weibo.sina.service.publisher.Context],notificationManager,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,Notifier/1[org.aisen.weibo.sina.service.publisher.Context],context,4
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,cancelNotification/1[int],notificationManager,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,"notify/2[int,org.aisen.weibo.sina.service.publisher.Notification]",notificationManager,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,cancelAll/0,RemindUnreadForMentionComments,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,cancelAll/0,ReplyCommentNotificationRequest,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,cancelAll/0,RemindUnreadForDM,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,cancelAll/0,PublishCommentNotificationRequest,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,cancelAll/0,RemindUnreadComments,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,cancelAll/0,RemindUnreadForFollowers,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,cancelAll/0,RepostStatusNotificationRequest,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,cancelAll/0,PublishStatusNotificationRequest,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,cancelAll/0,RemindUnreadForMentionStatus,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,onProgressUpdate/1[java.lang.Long[]],mImageUrl,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,onProgressUpdate/1[java.lang.Long[]],mTypeFlag,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,onProgressUpdate/1[java.lang.Long[]],callbackRef,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],mImageUrl,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],httpClient,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],total,10
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],mCall,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],PUBLISH_INTERVAL_TIME,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],progress,7
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],TAG,9
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],mContext,4
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,isRunning/0,mImageUrl,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,isRunning/0,runningTask,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,onFailure/1[org.aisen.weibo.sina.ui.fragment.secondgroups.TaskException],mImageUrl,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,onFailure/1[org.aisen.weibo.sina.ui.fragment.secondgroups.TaskException],TAG,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,onFailure/1[org.aisen.weibo.sina.ui.fragment.secondgroups.TaskException],callbackRef,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,"setWallpaper/3[org.aisen.weibo.sina.ui.fragment.secondgroups.Context,java.io.File,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask.OnProgressCallback]",TAG,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,workInBackground/1[java.lang.Void[]],mImageUrl,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,workInBackground/1[java.lang.Void[]],mTypeFlag,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,workInBackground/1[java.lang.Void[]],mContext,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,workInBackground/1[java.lang.Void[]],callbackRef,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,"download/4[org.aisen.weibo.sina.ui.fragment.secondgroups.Context,java.lang.String,java.lang.String,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask.OnProgressCallback]",TAG,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,saveWallpaper/1[java.io.File],mImageUrl,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,saveWallpaper/1[java.io.File],mContext,2
