file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,Notifier/1[org.aisen.weibo.sina.service.publisher.Context],true,34,2,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,cancelNotification/1[int],false,43,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,"notify/2[int,org.aisen.weibo.sina.service.publisher.Notification]",false,39,1,1,1,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,cancelAll/0,false,47,2,3,2,1,1,3,12,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,25,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\library\src\main\java\org\aisen\android\ui\widget\swipyrefresh\SwipyRefreshLayout.java,org.aisen.android.ui.widget.swipyrefresh.SwipyRefreshLayout$OnRefreshListener,onRefresh/1[org.aisen.android.ui.widget.swipyrefresh.SwipyRefreshLayoutDirection],false,1082,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,onProgressUpdate/1[java.lang.Long[]],false,248,1,1,0,1,4,3,9,0,3,1,3,0,0,0,2,0,0,0,3,3,0,1,0,0,0,10,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],false,477,9,10,1,9,20,35,85,1,13,1,35,2,1,1,7,3,2,21,14,25,8,4,0,0,0,64,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,isRunning/0,false,301,1,3,2,1,4,5,10,3,1,0,5,0,0,0,2,0,0,0,0,1,0,1,0,0,0,11,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,onFailure/1[org.aisen.weibo.sina.ui.fragment.secondgroups.TaskException],false,281,4,5,0,5,4,10,16,0,1,1,10,1,1,0,1,0,0,4,0,1,1,3,0,0,0,15,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,"setWallpaper/3[org.aisen.weibo.sina.ui.fragment.secondgroups.Context,java.io.File,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask.OnProgressCallback]",false,327,14,8,2,6,8,24,71,1,16,3,24,0,0,0,3,2,2,4,4,21,8,4,3,0,0,50,9,0,false
