file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,Notifier/1[org.aisen.weibo.sina.service.publisher.Context],context,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,cancelNotification/1[int],request,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,"notify/2[int,org.aisen.weibo.sina.service.publisher.Notification]",notification,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,"notify/2[int,org.aisen.weibo.sina.service.publisher.Notification]",id,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\service\publisher\Notifier.java,org.aisen.weibo.sina.service.publisher.Notifier,cancelAll/0,notificationManager,9
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\library\src\main\java\org\aisen\android\ui\widget\swipyrefresh\SwipyRefreshLayout.java,org.aisen.android.ui.widget.swipyrefresh.SwipyRefreshLayout$OnRefreshListener,onRefresh/1[org.aisen.android.ui.widget.swipyrefresh.SwipyRefreshLayoutDirection],direction,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,onProgressUpdate/1[java.lang.Long[]],total,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,onProgressUpdate/1[java.lang.Long[]],values,5
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,onProgressUpdate/1[java.lang.Long[]],callback,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,onProgressUpdate/1[java.lang.Long[]],progress,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],request,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],defaultLength,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],e,5
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],encoding,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],out,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],imageStream,5
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],file,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],opts,6
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],response,6
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],now,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],tempFile,5
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],readLen,4
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],lastPublishTime,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],buffer,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,doDownload/1[java.io.File],statusCode,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,isRunning/0,key,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,onFailure/1[org.aisen.weibo.sina.ui.fragment.secondgroups.TaskException],exception,4
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,onFailure/1[org.aisen.weibo.sina.ui.fragment.secondgroups.TaskException],callback,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\fragment\secondgroups\WallpaperDownloadTask.java,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask,"setWallpaper/3[org.aisen.weibo.sina.ui.fragment.secondgroups.Context,java.io.File,org.aisen.weibo.sina.ui.fragment.secondgroups.WallpaperDownloadTask.OnProgressCallback]",wallpaperHeight,1
