file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-fragment\fragment\src\main\java\com\module\chiclaim\com\fragment\DrawerFragment.java,com.module.chiclaim.com.fragment.DrawerFragment$Anonymous1,onClick/1[com.module.chiclaim.com.fragment.View],false,40,2,4,0,4,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-dagger2\dagger2-sample\app\src\main\java\com\chiclaim\dagger\sample\MyApplication.java,com.chiclaim.dagger.sample.MyApplication,onCreate/0,false,15,1,2,0,2,1,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\api\ApiServiceFactory.java,com.chiclaim.rxjava.api.ApiServiceFactory$NetWorkErrorHandler,handleError/1[com.chiclaim.rxjava.api.RetrofitError],false,35,6,4,0,4,7,6,23,5,1,1,6,0,0,0,6,0,0,11,1,1,1,1,0,0,0,48,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\jvm\jvm-sample\src\class_load\LoadClassByApi.java,class_load.LoadClassByApi,main/1[java.lang.String[]],false,5,2,1,0,1,1,7,15,0,5,1,7,0,0,0,0,0,0,4,1,5,0,0,1,0,0,10,9,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\jvm\jvm-sample\src\execute_bytecode\Fruit.java,execute_bytecode.Fruit,getName/0,false,4,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-fragment\fragment\src\main\java\com\module\chiclaim\com\fragment\DrawerFragment.java,com.module.chiclaim.com.fragment.DrawerFragment$Anonymous2,onClick/1[com.module.chiclaim.com.fragment.View],false,54,2,4,0,4,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\RetryWithDelay.java,com.chiclaim.rxjava.operator.RetryWithDelay,"RetryWithDelay/2[int,int]",true,17,0,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,7,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\RetryWithDelay.java,com.chiclaim.rxjava.operator.RetryWithDelay,call/1[com.chiclaim.rxjava.operator.Observable<? extends java.lang.Throwable>],false,24,2,0,0,0,1,1,12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-optimization\app\src\main\java\com\chiclaim\optimization\SplashActivity.java,com.chiclaim.optimization.SplashActivity,onRestart/0,false,31,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-optimization\app\src\main\java\com\chiclaim\optimization\SplashActivity.java,com.chiclaim.optimization.SplashActivity,onResume/0,false,43,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-optimization\app\src\main\java\com\chiclaim\optimization\SplashActivity.java,com.chiclaim.optimization.SplashActivity,onStart/0,false,37,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-optimization\app\src\main\java\com\chiclaim\optimization\SplashActivity.java,com.chiclaim.optimization.SplashActivity,onCreate/1[com.chiclaim.optimization.Bundle],false,14,2,1,0,1,1,4,12,0,0,1,4,0,0,0,0,0,0,2,1,0,0,0,1,0,0,16,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-optimization\app\src\main\java\com\chiclaim\optimization\MainActivity.java,com.chiclaim.optimization.MainActivity$Anonymous1,onClick/1[com.chiclaim.optimization.View],false,26,3,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-optimization\app\src\main\java\com\chiclaim\optimization\MainActivity.java,com.chiclaim.optimization.MainActivity$Anonymous2,onClick/1[com.chiclaim.optimization.View],false,33,4,1,0,1,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,getLayoutId/0,false,23,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,initViews/1[com.chiclaim.customview.animation.basic.View],false,28,3,2,0,2,1,6,8,0,0,1,6,1,1,0,0,0,0,1,0,1,0,0,0,0,0,11,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,createTransitionChange/0,false,52,4,1,1,0,1,4,14,1,8,0,4,0,0,0,0,0,0,6,15,8,0,0,0,0,0,21,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,onClick/1[com.chiclaim.customview.animation.basic.View],false,100,2,2,0,2,3,3,8,0,0,1,3,2,1,0,2,0,0,0,0,0,0,1,0,0,0,7,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,addButtonView/0,false,82,2,1,1,0,1,4,8,0,2,0,4,0,0,0,0,0,0,1,1,2,1,0,0,0,0,8,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,removeButtonView/0,false,92,0,1,1,0,2,1,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\LayoutTransitionFragment.java,com.chiclaim.customview.animation.basic.LayoutTransitionFragment,createTransition/0,false,39,2,0,0,0,1,2,8,1,3,0,2,0,0,0,0,0,0,2,6,3,0,0,0,0,0,10,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-optimization\app\src\main\java\com\chiclaim\optimization\MainActivity.java,com.chiclaim.optimization.MainActivity$Anonymous3,onClick/1[com.chiclaim.optimization.View],false,41,3,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\create\RxUtils.java,com.chiclaim.rxjava.operator.create.RxUtils$Anonymous3$Anonymous4,call/1[T],false,47,3,0,0,0,2,2,6,2,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,9,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-optimization\app\src\main\java\com\chiclaim\optimization\MainActivity.java,com.chiclaim.optimization.MainActivity$Anonymous4,onClick/1[com.chiclaim.optimization.View],false,48,3,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-ndk\AndroidNativeDemo\app\src\main\java\com\chiclaim\androidnative\jni\User.java,com.chiclaim.androidnative.jni.User,getUsername/0,false,15,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-ndk\AndroidNativeDemo\app\src\main\java\com\chiclaim\androidnative\jni\User.java,com.chiclaim.androidnative.jni.User,User/1[java.lang.String],true,11,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\exception\NetworkException.java,com.chiclaim.rxjava.exception.NetworkException,NetworkException/1[java.lang.String],true,7,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\UseRxJavaRightWayActivity.java,com.chiclaim.rxjava.UseRxJavaRightWayActivity,onCreate/1[com.chiclaim.rxjava.Bundle],false,31,4,1,0,1,1,10,18,0,1,1,10,0,0,0,0,0,0,0,0,2,0,0,2,0,0,28,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\UseRxJavaRightWayActivity.java,com.chiclaim.rxjava.UseRxJavaRightWayActivity,launch/1[com.chiclaim.rxjava.Context],false,55,3,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
