file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-fragment\fragment\src\main\java\com\module\chiclaim\com\fragment\DrawerFragment.java,com.module.chiclaim.com.fragment.DrawerFragment$Anonymous1,onClick/1[com.module.chiclaim.com.fragment.View],v,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\api\ApiServiceFactory.java,com.chiclaim.rxjava.api.ApiServiceFactory$NetWorkErrorHandler,handleError/1[com.chiclaim.rxjava.api.RetrofitError],r,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\api\ApiServiceFactory.java,com.chiclaim.rxjava.api.ApiServiceFactory$NetWorkErrorHandler,handleError/1[com.chiclaim.rxjava.api.RetrofitError],error,10
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\jvm\jvm-sample\src\class_load\LoadClassByApi.java,class_load.LoadClassByApi,main/1[java.lang.String[]],args,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\jvm\jvm-sample\src\class_load\LoadClassByApi.java,class_load.LoadClassByApi,main/1[java.lang.String[]],arr,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\jvm\jvm-sample\src\class_load\LoadClassByApi.java,class_load.LoadClassByApi,main/1[java.lang.String[]],c,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\jvm\jvm-sample\src\class_load\LoadClassByApi.java,class_load.LoadClassByApi,main/1[java.lang.String[]],clazz2,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\jvm\jvm-sample\src\class_load\LoadClassByApi.java,class_load.LoadClassByApi,main/1[java.lang.String[]],clazz1,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\jvm\jvm-sample\src\class_load\LoadClassByApi.java,class_load.LoadClassByApi,main/1[java.lang.String[]],ls,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-fragment\fragment\src\main\java\com\module\chiclaim\com\fragment\DrawerFragment.java,com.module.chiclaim.com.fragment.DrawerFragment$Anonymous2,onClick/1[com.module.chiclaim.com.fragment.View],v,0
