file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\smartreply\app\src\main\java\com\google\mlkit\samples\nl\smartreply\java\model\Message.java,com.google.mlkit.samples.nl.smartreply.java.model.Message,"Message/3[java.lang.String,boolean,long]",text,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\smartreply\app\src\main\java\com\google\mlkit\samples\nl\smartreply\java\model\Message.java,com.google.mlkit.samples.nl.smartreply.java.model.Message,"Message/3[java.lang.String,boolean,long]",isLocalUser,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\smartreply\app\src\main\java\com\google\mlkit\samples\nl\smartreply\java\model\Message.java,com.google.mlkit.samples.nl.smartreply.java.model.Message,"Message/3[java.lang.String,boolean,long]",timestamp,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\smartreply\app\src\main\java\com\google\mlkit\samples\nl\smartreply\java\model\Message.java,com.google.mlkit.samples.nl.smartreply.java.model.Message,getIcon/1[com.google.mlkit.samples.nl.smartreply.java.model.Context],isLocalUser,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,confidenceRange/0,meanDistanceTopK,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,confidenceRange/0,maxDistanceTopK,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,PoseClassifier/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PoseSample>],poseSamples,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,PoseClassifier/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PoseSample>],MEAN_DISTANCE_TOP_K,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,PoseClassifier/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PoseSample>],AXES_WEIGHTS,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,PoseClassifier/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PoseSample>],MAX_DISTANCE_TOP_K,1
