file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\preference\StillImagePreferenceFragment.java,com.google.mlkit.vision.demo.preference.StillImagePreferenceFragment,onCreate/1[com.google.mlkit.vision.demo.preference.Bundle],false,27,1,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\smartreply\app\src\main\java\com\google\mlkit\samples\nl\smartreply\java\model\Message.java,com.google.mlkit.samples.nl.smartreply.java.model.Message,"Message/3[java.lang.String,boolean,long]",true,36,0,4,4,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\smartreply\app\src\main\java\com\google\mlkit\samples\nl\smartreply\java\model\Message.java,com.google.mlkit.samples.nl.smartreply.java.model.Message,getIcon/1[com.google.mlkit.samples.nl.smartreply.java.model.Context],false,43,3,1,1,0,4,5,15,1,2,1,5,0,0,0,1,0,0,1,0,3,0,1,0,0,0,15,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\translate\app\src\main\java\com\google\mlkit\samples\nl\translate\java\MainActivity.java,com.google.mlkit.samples.nl.translate.java.MainActivity,onCreate/1[com.google.mlkit.samples.nl.translate.java.Bundle],false,26,2,1,0,1,2,7,7,0,0,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,14,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,confidenceRange/0,false,80,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,extractPoseLandmarks/1[com.google.mlkit.vision.demo.java.posedetector.classification.Pose],false,66,2,1,1,0,2,3,7,1,1,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,10,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,PoseClassifier/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PoseSample>],true,54,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,classify/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PointF3D>],false,88,6,9,0,9,9,18,45,2,21,1,18,0,0,5,0,0,1,0,10,21,2,2,0,0,2,33,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,"PoseClassifier/4[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PoseSample>,int,int,com.google.mlkit.vision.demo.java.posedetector.classification.PointF3D]",true,59,2,0,0,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,classify/1[com.google.mlkit.vision.demo.java.posedetector.classification.Pose],false,84,3,4,2,2,1,2,3,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
