file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\preference\StillImagePreferenceFragment.java,com.google.mlkit.vision.demo.preference.StillImagePreferenceFragment,onCreate/1[com.google.mlkit.vision.demo.preference.Bundle],savedInstanceState,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\smartreply\app\src\main\java\com\google\mlkit\samples\nl\smartreply\java\model\Message.java,com.google.mlkit.samples.nl.smartreply.java.model.Message,"Message/3[java.lang.String,boolean,long]",text,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\smartreply\app\src\main\java\com\google\mlkit\samples\nl\smartreply\java\model\Message.java,com.google.mlkit.samples.nl.smartreply.java.model.Message,"Message/3[java.lang.String,boolean,long]",isLocalUser,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\smartreply\app\src\main\java\com\google\mlkit\samples\nl\smartreply\java\model\Message.java,com.google.mlkit.samples.nl.smartreply.java.model.Message,"Message/3[java.lang.String,boolean,long]",timestamp,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\smartreply\app\src\main\java\com\google\mlkit\samples\nl\smartreply\java\model\Message.java,com.google.mlkit.samples.nl.smartreply.java.model.Message,getIcon/1[com.google.mlkit.samples.nl.smartreply.java.model.Context],drawable,7
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\smartreply\app\src\main\java\com\google\mlkit\samples\nl\smartreply\java\model\Message.java,com.google.mlkit.samples.nl.smartreply.java.model.Message,getIcon/1[com.google.mlkit.samples.nl.smartreply.java.model.Context],color,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\smartreply\app\src\main\java\com\google\mlkit\samples\nl\smartreply\java\model\Message.java,com.google.mlkit.samples.nl.smartreply.java.model.Message,getIcon/1[com.google.mlkit.samples.nl.smartreply.java.model.Context],context,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\translate\app\src\main\java\com\google\mlkit\samples\nl\translate\java\MainActivity.java,com.google.mlkit.samples.nl.translate.java.MainActivity,onCreate/1[com.google.mlkit.samples.nl.translate.java.Bundle],savedInstanceState,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,extractPoseLandmarks/1[com.google.mlkit.vision.demo.java.posedetector.classification.Pose],pose,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,extractPoseLandmarks/1[com.google.mlkit.vision.demo.java.posedetector.classification.Pose],poseLandmark,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,extractPoseLandmarks/1[com.google.mlkit.vision.demo.java.posedetector.classification.Pose],landmarks,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,PoseClassifier/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PoseSample>],poseSamples,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,classify/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PointF3D>],o1,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,classify/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PointF3D>],sampleEmbedding,5
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,classify/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PointF3D>],o2,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,classify/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PointF3D>],flippedLandmarks,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,classify/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PointF3D>],originalMax,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,classify/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PointF3D>],i,13
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,classify/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PointF3D>],className,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,classify/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PointF3D>],landmarks,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,classify/1[java.util.List<com.google.mlkit.vision.demo.java.posedetector.classification.PointF3D>],poseSample,5
